,structure_id,Model,GDT_TS
131,9CYP,RoseTTAFold,87.588
132,8KEU,AlphaFold,99.605
133,8KEU,RoseTTAFold,95.395
134,8KCV,AlphaFold,80.996
135,8KCV,RoseTTAFold,57.841
136,9FCX,AlphaFold,96.963
137,9FCX,RoseTTAFold,85.164
138,8R36,AlphaFold,88.681
139,8R36,RoseTTAFold,90.453
140,8G4K,AlphaFold,94.144
141,8G4K,RoseTTAFold,78.153
142,8QVK,AlphaFold,85.852
143,8QVK,RoseTTAFold,59.524
144,8Q3S,AlphaFold,99.169
145,8Q3S,RoseTTAFold,88.427
146,8QVG,AlphaFold,93.727
147,8QVG,RoseTTAFold,62.637
148,8QWI,AlphaFold,94.368
149,8QWI,RoseTTAFold,61.538
150,9FD3,AlphaFold,98.592
151,9FD3,RoseTTAFold,87.911
