,structure_id,model,loop_len,rmsd
74,8TLF,alpha,1.0,0.567
75,8TLF,rosetta,1.0,2.271
76,8TLF,alpha,3.0,0.711
77,8TLF,rosetta,3.0,2.556
78,8TLF,alpha,2.0,0.745
79,8TLF,rosetta,2.0,1.765
80,8TLF,alpha,5.0,0.715
81,8TLF,rosetta,5.0,3.106
82,8TLF,alpha,6.0,0.509
83,8TLF,rosetta,6.0,2.917
84,8TLF,alpha,2.0,0.34
85,8TLF,rosetta,2.0,2.668
86,8TLF,alpha,17.0,0.574
87,8TLF,rosetta,17.0,2.866
88,8TLF,alpha,3.0,0.422
89,8TLF,rosetta,3.0,4.147
90,8TLF,alpha,7.0,0.351
91,8TLF,rosetta,7.0,2.987
92,8TLF,alpha,7.0,0.541
93,8TLF,rosetta,7.0,1.721
94,8TLF,alpha,1.0,1.412
95,8TLF,rosetta,1.0,1.221
96,8V5E,alpha,3.0,2.012
97,8V5E,rosetta,3.0,2.423
98,8V5E,alpha,7.0,1.203
99,8V5E,rosetta,7.0,1.518
100,8V5E,alpha,1.0,1.006
101,8V5E,rosetta,1.0,0.802
102,8V5E,alpha,6.0,1.012
103,8V5E,rosetta,6.0,1.192
104,8V5E,alpha,5.0,1.227
105,8V5E,rosetta,5.0,1.31
106,8V5E,alpha,1.0,1.431
107,8V5E,rosetta,1.0,1.521
108,8V5E,alpha,5.0,1.17
109,8V5E,rosetta,5.0,1.053
110,8V5E,alpha,2.0,1.49
111,8V5E,rosetta,2.0,2.057
112,8V5E,alpha,2.0,0.838
113,8V5E,rosetta,2.0,0.948
114,8V5E,alpha,2.0,0.788
115,8V5E,rosetta,2.0,1.011
116,8V5E,alpha,1.0,0.809
117,8V5E,rosetta,1.0,0.938
118,8V5E,alpha,1.0,0.914
119,8V5E,rosetta,1.0,0.95
120,8V5E,alpha,1.0,1.954
121,8V5E,rosetta,1.0,1.528
122,9FCE,alpha,1.0,3.106
123,9FCE,rosetta,1.0,1.506
124,9FCE,alpha,3.0,0.737
125,9FCE,rosetta,3.0,0.731
126,9FCE,alpha,1.0,0.305
127,9FCE,rosetta,1.0,0.896
128,9FCE,alpha,3.0,0.889
129,9FCE,rosetta,3.0,1.1
130,9FCE,alpha,5.0,0.44
131,9FCE,rosetta,5.0,0.702
132,9FCE,alpha,4.0,0.611
133,9FCE,rosetta,4.0,0.945
134,9FCE,alpha,2.0,0.402
135,9FCE,rosetta,2.0,0.51
136,9FCE,alpha,2.0,1.799
137,9FCE,rosetta,2.0,1.994
138,9FCE,alpha,5.0,0.581
139,9FCE,rosetta,5.0,0.749
140,9FCE,alpha,3.0,0.541
141,9FCE,rosetta,3.0,0.832
142,9FCE,alpha,2.0,0.475
143,9FCE,rosetta,2.0,0.616
144,9FCE,alpha,2.0,0.776
145,9FCE,rosetta,2.0,0.922
146,9FCE,alpha,5.0,0.611
147,9FCE,rosetta,5.0,1.351
148,9FCE,alpha,4.0,0.476
149,9FCE,rosetta,4.0,0.921
150,9FCE,alpha,7.0,0.722
151,9FCE,rosetta,7.0,0.864
152,9FCE,alpha,4.0,0.574
153,9FCE,rosetta,4.0,0.657
154,9FCE,alpha,2.0,0.432
155,9FCE,rosetta,2.0,0.859
156,9FCE,alpha,1.0,0.467
157,9FCE,rosetta,1.0,1.004
158,8TK5,alpha,1.0,2.704
159,8TK5,rosetta,1.0,1.326
160,8TK5,alpha,7.0,0.993
161,8TK5,rosetta,7.0,0.98
162,8TK5,alpha,3.0,0.542
163,8TK5,rosetta,3.0,0.628
164,8TK5,alpha,2.0,0.485
165,8TK5,rosetta,2.0,1.097
166,8TK5,alpha,1.0,0.426
167,8TK5,rosetta,1.0,0.416
168,8TK5,alpha,2.0,0.57
169,8TK5,rosetta,2.0,0.709
170,8TK5,alpha,3.0,0.449
171,8TK5,rosetta,3.0,0.558
172,8TK5,alpha,2.0,0.506
173,8TK5,rosetta,2.0,0.552
174,8TK5,alpha,6.0,0.78
175,8TK5,rosetta,6.0,1.077
176,8TK5,alpha,3.0,0.587
177,8TK5,rosetta,3.0,0.841
178,8TK5,alpha,2.0,0.473
179,8TK5,rosetta,2.0,1.038
180,8TK5,alpha,10.0,0.557
181,8TK5,rosetta,10.0,0.607
182,8TK5,alpha,6.0,0.771
183,8TK5,rosetta,6.0,1.022
184,8TK5,alpha,6.0,0.55
185,8TK5,rosetta,6.0,0.531
186,8TK5,alpha,3.0,0.784
187,8TK5,rosetta,3.0,0.551
188,8TK5,alpha,6.0,0.425
189,8TK5,rosetta,6.0,0.534
190,8TK5,alpha,6.0,0.803
191,8TK5,rosetta,6.0,1.129
192,8WQ5,alpha,9.0,1.06
193,8WQ5,rosetta,9.0,2.082
194,8WQ5,alpha,1.0,0.443
195,8WQ5,rosetta,1.0,1.636
196,8WQ5,alpha,3.0,0.484
197,8WQ5,rosetta,3.0,1.715
198,8WQ5,alpha,1.0,0.877
199,8WQ5,rosetta,1.0,1.024
200,8WQ5,alpha,2.0,0.745
201,8WQ5,rosetta,2.0,0.922
202,8WQ5,alpha,4.0,0.508
203,8WQ5,rosetta,4.0,0.889
204,8WQ5,alpha,5.0,1.238
205,8WQ5,rosetta,5.0,1.11
206,8WQ5,alpha,2.0,0.777
207,8WQ5,rosetta,2.0,1.116
208,8WQ5,alpha,3.0,0.994
209,8WQ5,rosetta,3.0,1.307
210,8WQ5,alpha,2.0,1.096
211,8WQ5,rosetta,2.0,0.83
212,8WQ5,alpha,3.0,2.368
213,8WQ5,rosetta,3.0,2.592
214,8QXY,alpha,4.0,0.992
215,8QXY,rosetta,4.0,1.983
216,8QXY,alpha,4.0,0.456
217,8QXY,rosetta,4.0,0.52
218,8QXY,alpha,4.0,0.308
219,8QXY,rosetta,4.0,1.569
220,8QXY,alpha,3.0,0.492
221,8QXY,rosetta,3.0,0.689
222,8QXY,alpha,7.0,0.425
223,8QXY,rosetta,7.0,0.853
224,8QXY,alpha,3.0,0.529
225,8QXY,rosetta,3.0,0.607
226,8QXY,alpha,7.0,0.493
227,8QXY,rosetta,7.0,0.766
228,8QXY,alpha,2.0,0.328
229,8QXY,rosetta,2.0,0.819
230,8QXY,alpha,2.0,1.087
231,8QXY,rosetta,2.0,1.002
232,8QXY,alpha,2.0,0.428
233,8QXY,rosetta,2.0,1.002
234,8QXY,alpha,4.0,0.419
235,8QXY,rosetta,4.0,0.887
236,8QXY,alpha,3.0,0.533
237,8QXY,rosetta,3.0,0.832
238,8QXY,alpha,1.0,0.269
239,8QXY,rosetta,1.0,0.862
240,8QXY,alpha,1.0,0.606
241,8QXY,rosetta,1.0,1.027
242,9FTW,alpha,7.0,1.748
243,9FTW,rosetta,7.0,1.5
244,9FTW,alpha,4.0,0.63
245,9FTW,rosetta,4.0,0.69
246,9FTW,alpha,4.0,0.611
247,9FTW,rosetta,4.0,0.999
248,9FTW,alpha,2.0,0.536
249,9FTW,rosetta,2.0,0.969
250,9FTW,alpha,12.0,0.706
251,9FTW,rosetta,12.0,1.045
252,9FTW,alpha,1.0,0.484
253,9FTW,rosetta,1.0,0.633
254,9FTW,alpha,1.0,0.484
255,9FTW,rosetta,1.0,0.564
256,9FTW,alpha,6.0,0.619
257,9FTW,rosetta,6.0,1.196
258,9FTW,alpha,3.0,0.715
259,9FTW,rosetta,3.0,1.863
260,9FTW,alpha,3.0,0.641
261,9FTW,rosetta,3.0,1.341
262,9FTW,alpha,2.0,0.389
263,9FTW,rosetta,2.0,0.503
264,9FTW,alpha,6.0,0.561
265,9FTW,rosetta,6.0,0.623
266,9FTW,alpha,2.0,0.421
267,9FTW,rosetta,2.0,0.81
268,9FTW,alpha,8.0,0.63
269,9FTW,rosetta,8.0,1.846
270,9FTW,alpha,1.0,0.629
271,9FTW,rosetta,1.0,0.869
272,9FTW,alpha,1.0,0.484
273,9FTW,rosetta,1.0,1.193
274,9FTW,alpha,2.0,0.617
275,9FTW,rosetta,2.0,2.099
276,9FTW,alpha,3.0,0.593
277,9FTW,rosetta,3.0,0.847
278,9FTW,alpha,3.0,0.695
279,9FTW,rosetta,3.0,0.747
280,9FTW,alpha,7.0,0.668
281,9FTW,rosetta,7.0,2.162
282,9FTW,alpha,2.0,0.874
283,9FTW,rosetta,2.0,1.17
284,9FTW,alpha,3.0,0.529
285,9FTW,rosetta,3.0,0.696
286,9FTW,alpha,4.0,0.741
287,9FTW,rosetta,4.0,0.502
288,9FTW,alpha,2.0,0.397
289,9FTW,rosetta,2.0,1.229
290,9FTW,alpha,5.0,0.768
291,9FTW,rosetta,5.0,1.692
292,9FTW,alpha,3.0,0.852
293,9FTW,rosetta,3.0,1.761
294,9FTW,alpha,2.0,0.983
295,9FTW,rosetta,2.0,1.883
296,9FSB,alpha,2.0,1.179
297,9FSB,rosetta,2.0,1.221
298,9FSB,alpha,2.0,1.059
299,9FSB,rosetta,2.0,1.151
300,9FSB,alpha,1.0,0.398
301,9FSB,rosetta,1.0,0.825
302,9FSB,alpha,4.0,0.465
303,9FSB,rosetta,4.0,0.917
304,9FSB,alpha,2.0,0.848
305,9FSB,rosetta,2.0,0.828
306,9FSB,alpha,5.0,0.624
307,9FSB,rosetta,5.0,1.185
308,9FSB,alpha,4.0,0.706
309,9FSB,rosetta,4.0,1.214
310,9FSB,alpha,2.0,0.556
311,9FSB,rosetta,2.0,0.724
312,9FSB,alpha,8.0,1.02
313,9FSB,rosetta,8.0,0.948
314,9FSB,alpha,7.0,0.768
315,9FSB,rosetta,7.0,0.889
316,9FSB,alpha,1.0,0.42
317,9FSB,rosetta,1.0,0.381
318,9FSB,alpha,2.0,1.194
319,9FSB,rosetta,2.0,1.092
320,9FSB,alpha,10.0,1.481
321,9FSB,rosetta,10.0,1.504
322,9FSB,alpha,2.0,0.626
323,9FSB,rosetta,2.0,0.875
324,9FSB,alpha,3.0,1.167
325,9FSB,rosetta,3.0,1.17
326,9FSB,alpha,1.0,0.339
327,9FSB,rosetta,1.0,0.384
328,9FSB,alpha,1.0,1.372
329,9FSB,rosetta,1.0,1.317
330,9C9R,alpha,4.0,1.738
331,9C9R,rosetta,4.0,2.267
332,9C9R,alpha,3.0,1.745
333,9C9R,rosetta,3.0,1.54
334,9C9R,alpha,6.0,1.698
335,9C9R,rosetta,6.0,2.712
336,9C9R,alpha,3.0,0.878
337,9C9R,rosetta,3.0,1.901
338,9C9R,alpha,6.0,0.813
339,9C9R,rosetta,6.0,2.141
340,9C9R,alpha,8.0,0.806
341,9C9R,rosetta,8.0,1.514
342,9C9R,alpha,5.0,1.151
343,9C9R,rosetta,5.0,2.196
344,9C9R,alpha,4.0,0.664
345,9C9R,rosetta,4.0,1.405
346,9C9R,alpha,8.0,0.959
347,9C9R,rosetta,8.0,1.636
348,9C9R,alpha,6.0,1.619
349,9C9R,rosetta,6.0,2.785
350,9C9R,alpha,5.0,0.739
351,9C9R,rosetta,5.0,1.5
352,9C9R,alpha,1.0,0.851
353,9C9R,rosetta,1.0,1.635
354,9C9R,alpha,3.0,0.848
355,9C9R,rosetta,3.0,1.43
356,9C9R,alpha,4.0,0.856
357,9C9R,rosetta,4.0,1.888
358,9C9R,alpha,4.0,0.615
359,9C9R,rosetta,4.0,1.472
360,9C9R,alpha,4.0,0.81
361,9C9R,rosetta,4.0,1.285
362,9C9R,alpha,7.0,1.318
363,9C9R,rosetta,7.0,2.151
364,9C9R,alpha,5.0,0.501
365,9C9R,rosetta,5.0,1.613
366,9C9R,alpha,1.0,0.388
367,9C9R,rosetta,1.0,0.839
368,9C9R,alpha,4.0,0.516
369,9C9R,rosetta,4.0,1.874
370,9C9R,alpha,5.0,0.58
371,9C9R,rosetta,5.0,1.25
372,9C9R,alpha,7.0,0.35
373,9C9R,rosetta,7.0,1.074
374,9C9R,alpha,3.0,0.526
375,9C9R,rosetta,3.0,1.287
376,9C9R,alpha,4.0,0.635
377,9C9R,rosetta,4.0,1.178
378,9C9R,alpha,1.0,0.519
379,9C9R,rosetta,1.0,1.588
380,9C9R,alpha,5.0,1.318
381,9C9R,rosetta,5.0,1.728
382,9C9R,alpha,1.0,0.523
383,9C9R,rosetta,1.0,1.619
384,9C9R,alpha,4.0,1.707
385,9C9R,rosetta,4.0,2.781
386,9C9R,alpha,5.0,1.108
387,9C9R,rosetta,5.0,2.109
388,9C9R,alpha,2.0,1.334
389,9C9R,rosetta,2.0,3.738
390,9C9R,alpha,2.0,1.294
391,9C9R,rosetta,2.0,3.855
392,9C9R,alpha,5.0,0.564
393,9C9R,rosetta,5.0,3.081
394,9C9R,alpha,3.0,1.39
395,9C9R,rosetta,3.0,3.822
396,9C9R,alpha,7.0,0.965
397,9C9R,rosetta,7.0,2.055
398,9C9R,alpha,3.0,1.218
399,9C9R,rosetta,3.0,3.36
400,9C9R,alpha,8.0,1.536
401,9C9R,rosetta,8.0,3.237
402,9C9R,alpha,3.0,0.91
403,9C9R,rosetta,3.0,2.817
404,8KGB,alpha,8.0,6.173
405,8KGB,rosetta,8.0,5.813
406,8KGB,alpha,6.0,2.473
407,8KGB,rosetta,6.0,2.454
408,8KGB,alpha,3.0,0.787
409,8KGB,rosetta,3.0,1.185
410,8KGB,alpha,8.0,1.376
411,8KGB,rosetta,8.0,1.467
412,8KGB,alpha,3.0,1.571
413,8KGB,rosetta,3.0,1.404
414,8KGB,alpha,2.0,1.335
415,8KGB,rosetta,2.0,1.308
416,8KGB,alpha,2.0,1.229
417,8KGB,rosetta,2.0,0.806
418,8KGB,alpha,1.0,1.517
419,8KGB,rosetta,1.0,1.935
420,8KGB,alpha,3.0,1.518
421,8KGB,rosetta,3.0,1.559
422,8KGB,alpha,2.0,1.288
423,8KGB,rosetta,2.0,1.173
424,8KGB,alpha,2.0,0.638
425,8KGB,rosetta,2.0,0.62
426,8KGB,alpha,6.0,1.422
427,8KGB,rosetta,6.0,1.472
428,8KGB,alpha,1.0,1.626
429,8KGB,rosetta,1.0,1.419
430,8KGB,alpha,5.0,2.403
431,8KGB,rosetta,5.0,2.144
432,8KGB,alpha,2.0,2.407
433,8KGB,rosetta,2.0,2.271
434,8KGB,alpha,6.0,1.913
435,8KGB,rosetta,6.0,1.787
436,8KGB,alpha,1.0,1.968
437,8KGB,rosetta,1.0,1.684
438,8KGB,alpha,12.0,1.508
439,8KGB,rosetta,12.0,1.411
440,8KGB,alpha,2.0,2.191
441,8KGB,rosetta,2.0,1.81
442,8KGB,alpha,4.0,1.302
443,8KGB,rosetta,4.0,1.238
444,8KGB,alpha,2.0,1.457
445,8KGB,rosetta,2.0,1.43
446,8KGB,alpha,10.0,2.489
447,8KGB,rosetta,10.0,2.481
448,8TQJ,alpha,6.0,0.733
449,8TQJ,rosetta,6.0,1.23
450,8TQJ,alpha,1.0,0.386
451,8TQJ,rosetta,1.0,0.649
452,8TQJ,alpha,2.0,0.44
453,8TQJ,rosetta,2.0,0.341
454,8TQJ,alpha,2.0,0.679
455,8TQJ,rosetta,2.0,1.202
456,8TQJ,alpha,2.0,0.363
457,8TQJ,rosetta,2.0,1.057
458,8TQJ,alpha,10.0,0.71
459,8TQJ,rosetta,10.0,0.658
460,8TQJ,alpha,3.0,0.581
461,8TQJ,rosetta,3.0,1.045
462,8TQJ,alpha,2.0,0.459
463,8TQJ,rosetta,2.0,0.71
464,8TQJ,alpha,2.0,0.406
465,8TQJ,rosetta,2.0,1.114
466,8TQJ,alpha,6.0,0.528
467,8TQJ,rosetta,6.0,0.599
468,8TQJ,alpha,2.0,0.55
469,8TQJ,rosetta,2.0,0.65
470,8TQJ,alpha,3.0,0.351
471,8TQJ,rosetta,3.0,0.709
472,8TQJ,alpha,2.0,0.557
473,8TQJ,rosetta,2.0,1.074
474,8TQJ,alpha,6.0,0.405
475,8TQJ,rosetta,6.0,0.617
476,8TQJ,alpha,11.0,0.504
477,8TQJ,rosetta,11.0,1.195
478,8TQJ,alpha,2.0,0.587
479,8TQJ,rosetta,2.0,0.958
480,8TQJ,alpha,5.0,0.453
481,8TQJ,rosetta,5.0,0.982
482,8TQJ,alpha,4.0,0.343
483,8TQJ,rosetta,4.0,0.589
484,8TQJ,alpha,17.0,0.735
485,8TQJ,rosetta,17.0,1.3
486,8TQJ,alpha,1.0,0.572
487,8TQJ,rosetta,1.0,0.531
488,8TQJ,alpha,13.0,0.62
489,8TQJ,rosetta,13.0,1.203
490,8TQJ,alpha,2.0,0.653
491,8TQJ,rosetta,2.0,0.63
492,8TQJ,alpha,1.0,0.753
493,8TQJ,rosetta,1.0,1.173
494,8TQJ,alpha,3.0,0.861
495,8TQJ,rosetta,3.0,1.311
496,8TQJ,alpha,6.0,0.512
497,8TQJ,rosetta,6.0,1.229
498,8TQJ,alpha,2.0,0.809
499,8TQJ,rosetta,2.0,1.127
500,8TQJ,alpha,8.0,0.622
501,8TQJ,rosetta,8.0,0.865
502,8TQJ,alpha,7.0,0.836
503,8TQJ,rosetta,7.0,1.457
504,8QY1,alpha,3.0,0.591
505,8QY1,rosetta,3.0,1.778
506,8QY1,alpha,4.0,0.467
507,8QY1,rosetta,4.0,0.916
508,8QY1,alpha,4.0,0.402
509,8QY1,rosetta,4.0,1.522
510,8QY1,alpha,3.0,0.51
511,8QY1,rosetta,3.0,0.78
512,8QY1,alpha,6.0,0.382
513,8QY1,rosetta,6.0,0.8
514,8QY1,alpha,3.0,0.641
515,8QY1,rosetta,3.0,0.782
516,8QY1,alpha,7.0,0.397
517,8QY1,rosetta,7.0,0.701
518,8QY1,alpha,2.0,0.27
519,8QY1,rosetta,2.0,0.729
520,8QY1,alpha,2.0,1.154
521,8QY1,rosetta,2.0,0.856
522,8QY1,alpha,2.0,0.403
523,8QY1,rosetta,2.0,0.893
524,8QY1,alpha,4.0,0.4
525,8QY1,rosetta,4.0,0.962
526,8QY1,alpha,3.0,0.493
527,8QY1,rosetta,3.0,0.805
528,8QY1,alpha,1.0,0.719
529,8QY1,rosetta,1.0,0.837
530,8QY1,alpha,1.0,0.495
531,8QY1,rosetta,1.0,1.373
532,8Y2U,alpha,2.0,2.332
533,8Y2U,rosetta,2.0,2.143
534,8Y2U,alpha,4.0,0.461
535,8Y2U,rosetta,4.0,0.478
536,8Y2U,alpha,1.0,0.363
537,8Y2U,rosetta,1.0,0.826
538,8Y2U,alpha,4.0,0.607
539,8Y2U,rosetta,4.0,0.801
540,8Y2U,alpha,2.0,0.485
541,8Y2U,rosetta,2.0,0.491
542,8Y2U,alpha,5.0,0.438
543,8Y2U,rosetta,5.0,1.031
544,8Y2U,alpha,4.0,0.454
545,8Y2U,rosetta,4.0,1.268
546,8Y2U,alpha,2.0,0.367
547,8Y2U,rosetta,2.0,0.733
548,8Y2U,alpha,7.0,0.521
549,8Y2U,rosetta,7.0,0.977
550,8Y2U,alpha,7.0,0.618
551,8Y2U,rosetta,7.0,0.709
552,8Y2U,alpha,2.0,0.836
553,8Y2U,rosetta,2.0,0.854
554,8Y2U,alpha,10.0,0.769
555,8Y2U,rosetta,10.0,0.781
556,8Y2U,alpha,2.0,0.557
557,8Y2U,rosetta,2.0,0.891
558,8Y2U,alpha,2.0,0.891
559,8Y2U,rosetta,2.0,0.855
560,8Y2U,alpha,2.0,0.271
561,8Y2U,rosetta,2.0,0.576
562,8Y2U,alpha,2.0,1.204
563,8Y2U,rosetta,2.0,1.7
564,8TON,alpha,4.0,3.076
565,8TON,rosetta,4.0,3.109
566,8TON,alpha,3.0,2.269
567,8TON,rosetta,3.0,2.473
568,8TON,alpha,4.0,2.829
569,8TON,rosetta,4.0,3.945
570,8TON,alpha,4.0,2.644
571,8TON,rosetta,4.0,2.678
572,8TON,alpha,1.0,1.906
573,8TON,rosetta,1.0,1.814
574,8TON,alpha,1.0,2.095
575,8TON,rosetta,1.0,1.999
576,8TON,alpha,1.0,2.233
577,8TON,rosetta,1.0,2.232
578,8TON,alpha,1.0,2.203
579,8TON,rosetta,1.0,2.153
580,8TON,alpha,4.0,3.335
581,8TON,rosetta,4.0,3.349
582,8TON,alpha,3.0,2.444
583,8TON,rosetta,3.0,2.396
584,8TON,alpha,6.0,1.888
585,8TON,rosetta,6.0,1.889
586,8TON,alpha,10.0,2.789
587,8TON,rosetta,10.0,2.829
588,8TON,alpha,7.0,3.168
589,8TON,rosetta,7.0,3.041
590,8TON,alpha,5.0,2.82
591,8TON,rosetta,5.0,2.899
592,8TON,alpha,6.0,1.771
593,8TON,rosetta,6.0,1.748
594,8TON,alpha,6.0,2.358
595,8TON,rosetta,6.0,2.447
596,8TON,alpha,2.0,1.679
597,8TON,rosetta,2.0,1.899
598,8TON,alpha,4.0,3.281
599,8TON,rosetta,4.0,3.461
600,8TON,alpha,1.0,3.168
601,8TON,rosetta,1.0,3.34
602,8TON,alpha,6.0,2.118
603,8TON,rosetta,6.0,2.183
604,8TON,alpha,4.0,2.22
605,8TON,rosetta,4.0,2.337
606,8TON,alpha,10.0,3.038
607,8TON,rosetta,10.0,3.262
608,8TON,alpha,6.0,3.155
609,8TON,rosetta,6.0,3.271
610,8TON,alpha,2.0,3.344
611,8TON,rosetta,2.0,3.384
612,8Q6E,alpha,2.0,1.361
613,8Q6E,rosetta,2.0,1.387
614,8Q6E,alpha,1.0,1.04
615,8Q6E,rosetta,1.0,0.746
616,8Q6E,alpha,5.0,0.496
617,8Q6E,rosetta,5.0,0.625
618,8Q6E,alpha,4.0,0.9
619,8Q6E,rosetta,4.0,0.984
620,8Q6E,alpha,2.0,2.073
621,8Q6E,rosetta,2.0,2.257
622,8Q6E,alpha,7.0,3.387
623,8Q6E,rosetta,7.0,3.005
624,8Q6E,alpha,1.0,2.648
625,8Q6E,rosetta,1.0,1.789
626,8Q6E,alpha,2.0,1.037
627,8Q6E,rosetta,2.0,1.594
628,8Q6E,alpha,7.0,0.645
629,8Q6E,rosetta,7.0,0.753
630,8Q6E,alpha,9.0,1.239
631,8Q6E,rosetta,9.0,1.108
632,8Q6E,alpha,3.0,0.833
633,8Q6E,rosetta,3.0,0.915
634,8Q6E,alpha,8.0,1.374
635,8Q6E,rosetta,8.0,1.279
636,8Q6E,alpha,1.0,0.546
637,8Q6E,rosetta,1.0,0.847
638,8Q6E,alpha,4.0,0.94
639,8Q6E,rosetta,4.0,0.916
640,8Q6E,alpha,2.0,0.702
641,8Q6E,rosetta,2.0,0.971
642,8Q6E,alpha,8.0,1.04
643,8Q6E,rosetta,8.0,1.292
644,8Q6E,alpha,2.0,0.581
645,8Q6E,rosetta,2.0,0.934
646,8Q6E,alpha,2.0,0.543
647,8Q6E,rosetta,2.0,0.63
648,8Q6E,alpha,6.0,1.211
649,8Q6E,rosetta,6.0,1.187
650,8Q6E,alpha,2.0,0.627
651,8Q6E,rosetta,2.0,0.377
652,8Q6E,alpha,2.0,1.572
653,8Q6E,rosetta,2.0,1.457
654,8TLH,alpha,2.0,1.709
655,8TLH,rosetta,2.0,5.284
656,8TLH,alpha,4.0,0.815
657,8TLH,rosetta,4.0,5.234
658,8TLH,alpha,2.0,0.579
659,8TLH,rosetta,2.0,4.426
660,8TLH,alpha,1.0,0.594
661,8TLH,rosetta,1.0,2.371
662,8TLH,alpha,3.0,0.74
663,8TLH,rosetta,3.0,3.118
664,8TLH,alpha,2.0,0.522
665,8TLH,rosetta,2.0,1.723
666,8TLH,alpha,5.0,0.636
667,8TLH,rosetta,5.0,2.436
668,8TLH,alpha,6.0,0.475
669,8TLH,rosetta,6.0,1.959
670,8TLH,alpha,2.0,0.4
671,8TLH,rosetta,2.0,3.14
672,8TLH,alpha,17.0,0.685
673,8TLH,rosetta,17.0,2.527
674,8TLH,alpha,3.0,0.589
675,8TLH,rosetta,3.0,4.176
676,8TLH,alpha,7.0,0.571
677,8TLH,rosetta,7.0,2.929
678,8TLH,alpha,5.0,0.697
679,8TLH,rosetta,5.0,2.29
680,8TLH,alpha,1.0,1.538
681,8TLH,rosetta,1.0,1.718
682,8QN9,alpha,2.0,1.04
683,8QN9,rosetta,2.0,1.028
684,8QN9,alpha,2.0,0.533
685,8QN9,rosetta,2.0,0.869
686,8QN9,alpha,2.0,0.544
687,8QN9,rosetta,2.0,0.918
688,8QN9,alpha,3.0,0.458
689,8QN9,rosetta,3.0,1.007
690,8QN9,alpha,8.0,0.416
691,8QN9,rosetta,8.0,0.771
692,8QN9,alpha,3.0,0.445
693,8QN9,rosetta,3.0,0.642
694,8QN9,alpha,5.0,0.316
695,8QN9,rosetta,5.0,0.627
696,8QN9,alpha,12.0,0.392
697,8QN9,rosetta,12.0,0.702
698,8QN9,alpha,3.0,0.492
699,8QN9,rosetta,3.0,0.499
700,8QN9,alpha,4.0,0.314
701,8QN9,rosetta,4.0,0.705
702,8QN9,alpha,7.0,0.44
703,8QN9,rosetta,7.0,0.726
704,8QN9,alpha,1.0,0.218
705,8QN9,rosetta,1.0,0.658
706,8QN9,alpha,3.0,0.5
707,8QN9,rosetta,3.0,0.49
708,8QN9,alpha,4.0,0.641
709,8QN9,rosetta,4.0,1.215
